artist_name,album_name,track_name,search_term,track_uri,t_uri,genres,filtered_genres,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
O1l 10,Retrofuture,Fade to Black,"O1l 10, Fade to Black",spotify:track:6WwQXjMBU86V8nsBbKNxSL,6WwQXjMBU86V8nsBbKNxSL,alternative metal|hard rock|metal|old school thrash|rock|thrash metal,metal|rock,spotify:track:6WwQXjMBU86V8nsBbKNxSL,0.00949,0.323,0.718,0.313,0.118,-10.855,0.0468,0.496141149,0.218
Cliff Richard,Sincerely,Time,"Cliff Richard, Time",spotify:track:4nV4RwBpLQZMWr70IJvulG,4nV4RwBpLQZMWr70IJvulG,adult standards|brill building pop|bubblegum pop|classic uk pop|mellow gold|rock-and-roll|rockabilly|soft rock,pop|rock,spotify:track:4nV4RwBpLQZMWr70IJvulG,0.318,0.252,0.82,0.36,0.738,-10.699,0.122,0.891190712,0.285
Mêlée,against the tide ep,Bells,"Mêlée, Bells",spotify:track:3j4pNGSxgEi0fpdG9QK82R,3j4pNGSxgEi0fpdG9QK82R,piano rock,rock,spotify:track:3j4pNGSxgEi0fpdG9QK82R,0.000313,0.313,0.937,5.05E-06,0.203,-5.444,0.0913,0.756840894,0.355
Laura Marling,Once I Was An Eagle,Pray for Me,"Laura Marling, Pray for Me",spotify:track:2ah3qMVD9jo9gPaEzq7ja9,2ah3qMVD9jo9gPaEzq7ja9,art pop|british folk|british singer-songwriter|chamber pop|indie folk|indie pop|singer-songwriter|stomp and holler,pop|folk|indie,spotify:track:2ah3qMVD9jo9gPaEzq7ja9,0.669,0.313,0.303,0.00107,0.122,-12.269,0.0388,0.771962751,0.371
Boa,Hurricane Venus,Adrenaline,"Boa, Adrenaline",spotify:track:2AdbLQOwYyiazE6EVjvJOk,2AdbLQOwYyiazE6EVjvJOk,medieval folk|neoclassical darkwave|video game music,classical|folk,spotify:track:2AdbLQOwYyiazE6EVjvJOk,0.0569,0.626,0.354,0.871,0.112,-14.937,0.0293,0.582410987,0.399
Disclosure and Eliza Doolittle,The Singles,You & Me,"Disclosure and Eliza Doolittle, You & Me",spotify:track:3W2ZcrRsInZbjWylOi6KhZ,3W2ZcrRsInZbjWylOi6KhZ,house|pop|tropical house|uk dance,pop|dance,spotify:track:3W2ZcrRsInZbjWylOi6KhZ,0.382,0.593,0.392,0.000114,0.131,-6.872,0.0257,0.336232884,0.25
Scarface,Mr. Scarface: Greatest Hits,Goin' Down,"Scarface, Goin' Down",spotify:track:1vEOfAXexfAFb1moDdkeQr,1vEOfAXexfAFb1moDdkeQr,conscious hip hop|dirty south rap|gangster rap|hardcore hip hop|hip hop|rap|southern hip hop|trap,hip hop|rap,spotify:track:1vEOfAXexfAFb1moDdkeQr,0.249,0.754,0.819,0,0.327,-5.433,0.313,0.680246178,0.649
City and Colour,The Year In Review,The Grand Optimist,"City and Colour, The Grand Optimist",spotify:track:58CHujf89H5cuuZqm4RaLn,58CHujf89H5cuuZqm4RaLn,canadian folk|canadian indie,folk|indie,spotify:track:58CHujf89H5cuuZqm4RaLn,0.116,0.525,0.319,1.67E-06,0.352,-10.254,0.0383,0.532911092,0.378
J Dilla,"Quite Delicious 12\"",Serious
4763716,1233691331,US,32,m,57979,J Dilla,Quite Delicious 12\""""",Serious,"J Dilla, Serious",spotify:track:5ZFIANVhekSnCSa5jbUJT7,5ZFIANVhekSnCSa5jbUJT7,alternative dance|electronica|folktronica|indie soul|indietronica|intelligent dance music|new rave,folk|soul|electronica|dance|indie,spotify:track:5ZFIANVhekSnCSa5jbUJT7,0.0673,0.832,0.829,0.00746,0.126,-9.221,0.0672,0.448016376,0.723
Of Mice & Men,The Flood - Deluxe Re-Issue,Let Live,"Of Mice & Men, Let Live",spotify:track:68mQv5RUC8yKiBQxlSl0I4,68mQv5RUC8yKiBQxlSl0I4,melodic metalcore|metalcore|post-screamo|screamo,metal,spotify:track:68mQv5RUC8yKiBQxlSl0I4,4.87E-05,0.386,0.974,7.03E-05,0.434,-2.539,0.092,0.369737473,0.146
Mike Oldfield,The Song of Distant Earth,Crystal Clear,"Mike Oldfield, Crystal Clear",spotify:track:0ebU5m3jqAFrC0KRgYDJ21,0ebU5m3jqAFrC0KRgYDJ21,album rock|art rock|new age|progressive rock|symphonic rock,rock,spotify:track:0ebU5m3jqAFrC0KRgYDJ21,0.126,0.564,0.371,0.905,0.0906,-16.659,0.0367,0.389687933,0.417
I Break Horses,まなぱん9月BEST,Empty Bottles,"I Break Horses, Empty Bottles",spotify:track:50C2o2icqLC71ji22Juj9q,50C2o2icqLC71ji22Juj9q,art pop|chamber psych|chillwave|garage psych|metropopolis|nu gaze|shoegaze|swedish indie pop|swedish synthpop,pop|indie,spotify:track:50C2o2icqLC71ji22Juj9q,0.0001,0.399,0.905,0.675,0.248,-4.588,0.0431,0.53741719,0.132
Jerry Garcia,How Sweet It Is,Think,"Jerry Garcia, Think",spotify:track:3UrjtfzFnDy3Ua3BVONJlY,3UrjtfzFnDy3Ua3BVONJlY,jam band|progressive bluegrass|roots rock,rock,spotify:track:3UrjtfzFnDy3Ua3BVONJlY,0.5,0.437,0.868,0.123,0.92,-5.839,0.0597,0.508893498,0.65
of Montreal,Skeletal Lamping,Women's Studies Victims,"of Montreal, Women's Studies Victims",spotify:track:1K20UFDFPzaPLRQRBRjZ13,1K20UFDFPzaPLRQRBRjZ13,alternative dance|alternative rock|anti-folk|art pop|athens indie|baroque pop|dance-punk|e6fi|freak folk|indie pop|indie rock|lo-fi|modern rock|new rave,rock|folk|dance|pop|indie,spotify:track:1K20UFDFPzaPLRQRBRjZ13,0.329,0.615,0.53,0.0531,0.31,-8.717,0.117,0.534541529,0.631
Actress,Rough Trade Shops - Counter Culture 10,Casanova,"Actress, Casanova",spotify:track:6GOoyriTS4KSJYxLWyrYZs,6GOoyriTS4KSJYxLWyrYZs,art pop|bass music|deconstructed club|dub techno|experimental pop|float house|fluxwork|footwork|future garage|hauntology|intelligent dance music|microhouse|outsider house|wonky,pop|dance,spotify:track:6GOoyriTS4KSJYxLWyrYZs,0.00814,0.398,0.635,0.156,0.179,-13.882,0.299,0.524664842,0.346
Robbie Williams,In And Out Of Consciousness - Greatest Hits 1990-2010,Come Undone,"Robbie Williams, Come Undone",spotify:track:6mZCiuIXcA12syIS23Dyxa,6mZCiuIXcA12syIS23Dyxa,dance pop|europop|pop|pop rock,pop|rock|dance,spotify:track:6mZCiuIXcA12syIS23Dyxa,0.0385,0.375,0.57,4.37E-06,0.354,-5.364,0.0283,0.751318011,0.255
Kid Cudi,Man On The Moon: The End Of Day (Explicit),Sky Might Fall,"Kid Cudi, Sky Might Fall",spotify:track:4bBEPE5GmdBIFusBEPlRpQ,4bBEPE5GmdBIFusBEPlRpQ,hip hop|ohio hip hop|pop rap|rap,hip hop|pop|rap,spotify:track:4bBEPE5GmdBIFusBEPlRpQ,0.243,0.562,0.716,0.129,0.244,-7.654,0.151,0.870196593,0.354
